                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.2629,                   4.67,                 1.4853,                      0,                      0,                      0,                      0,                 1.9925,                 5.4627,                 1.8327,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 1.2336,                 4.8689,                  1.485,                      0,                      0,                      0,                      0,                 1.9925,                 5.4627,                 1.8327,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 1.0454,                 4.5002,                 1.3798,                      0,                      0,                      0,                      0,                 1.9925,                 5.4627,                 1.8327,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.3408,                 4.7451,                 1.4237,                      0,                      0,                      0,                      0,                  1.991,                 5.4795,                 1.8233,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 1.2352,                 4.5791,                 1.4877,                      0,                      0,                      0,                      0,                  1.991,                 5.4795,                 1.8233,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 1.2428,                 4.8167,                  1.364,                      0,                      0,                      0,                      0,                  1.991,                 5.4795,                 1.8233,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 1.2369,                 4.6033,                 1.3856,                      0,                      0,                      0,                      0,                 1.9822,                 5.4893,                 1.8164,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                  1.131,                 4.7174,                 1.2744,                      0,                      0,                      0,                      0,                 1.9822,                 5.4893,                 1.8164,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 1.0127,                 4.6202,                 1.4185,                      0,                      0,                      0,                      0,                 1.9822,                 5.4893,                 1.8164,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 1.3053,                  4.801,                 1.5586,                      0,                      0,                      0,                      0,                 1.9813,                 5.4706,                 1.8241,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 1.0562,                 4.5024,                 1.2323,                      0,                      0,                      0,                      0,                 1.9813,                 5.4706,                 1.8241,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.2291,                 4.5286,                 1.5032,                      0,                      0,                      0,                      0,                 1.9813,                 5.4706,                 1.8241,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 1.2119,                 4.5743,                 1.3605,                      0,                      0,                      0,                      0,                 1.9895,                 5.4778,                 1.8308,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 1.2598,                  4.679,                 1.4248,                      0,                      0,                      0,                      0,                 1.9895,                 5.4778,                 1.8308,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.0209,                 4.6027,                 1.2375,                      0,                      0,                      0,                      0,                 1.9895,                 5.4778,                 1.8308,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 1.1875,                 4.6844,                 1.2709,                      0,                      0,                      0,                      0,                 1.9338,                 5.4778,                 1.7995,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 1.2269,                 4.6406,                 1.3991,                      0,                      0,                      0,                      0,                 1.9338,                 5.4778,                 1.7995,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 1.0849,                 4.5391,                 1.3551,                      0,                      0,                      0,                      0,                 1.9338,                 5.4778,                 1.7995,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.98452,                 4.4196,                 1.3872,                      0,                      0,                      0,                      0,                 1.9354,                 5.4657,                 1.7958,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 1.0247,                 4.3876,                 1.2209,                      0,                      0,                      0,                      0,                 1.9354,                 5.4657,                 1.7958,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 1.2249,                 4.7154,                 1.2829,                      0,                      0,                      0,                      0,                 1.9354,                 5.4657,                 1.7958,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 1.0822,                  4.494,                 1.2964,                      0,                      0,                      0,                      0,                 1.9452,                 5.4486,                 1.8016,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.94094,                 4.4165,                 1.3523,                      0,                      0,                      0,                      0,                 1.9452,                 5.4486,                 1.8016,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 1.0825,                 4.5788,                 1.2449,                      0,                      0,                      0,                      0,                 1.9452,                 5.4486,                 1.8016,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 1.1077,                 4.3454,                 1.3755,                      0,                      0,                      0,                      0,                 1.9534,                 5.4441,                  1.802,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 1.1625,                 4.7652,                 1.3579,                      0,                      0,                      0,                      0,                 1.9534,                 5.4441,                  1.802,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                  1.077,                 4.3876,                 1.4381,                      0,                      0,                      0,                      0,                 1.9534,                 5.4441,                  1.802,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                  1.084,                 4.5552,                 1.3456,                      0,                      0,                      0,                      0,                 1.9899,                 5.4343,                 1.8442,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 1.2281,                 4.7064,                 1.3965,                      0,                      0,                      0,                      0,                 1.9899,                 5.4343,                 1.8442,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 1.1508,                 4.5228,                  1.263,                      0,                      0,                      0,                      0,                 1.9899,                 5.4343,                 1.8442,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 1.1088,                 4.3882,                 1.2696,                      0,                      0,                      0,                      0,                 1.9899,                 5.4343,                 1.8442,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 1.0529,                 4.5668,                 1.3595,                      0,                      0,                      0,                      0,                 2.0057,                 5.4573,                 1.8327,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.0914,                 4.6751,                 1.3848,                      0,                      0,                      0,                      0,                 2.0057,                 5.4573,                 1.8327,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.90045,                 4.4305,                 1.2686,                      0,                      0,                      0,                      0,                 2.0057,                 5.4573,                 1.8327,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 1.2247,                 4.7283,                 1.2769,                      0,                      0,                      0,                      0,                 2.0057,                 5.4573,                 1.8327,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 1.1493,                 4.5992,                 1.3699,                      0,                      0,                      0,                      0,                 2.0098,                 5.4539,                 1.8128,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 1.2617,                 4.5572,                  1.305,                      0,                      0,                      0,                      0,                 2.0098,                 5.4539,                 1.8128,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 1.4643,                 4.8077,                 1.4622,                      0,                      0,                      0,                      0,                 2.0098,                 5.4539,                 1.8128,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 1.1331,                 4.4985,                 1.4344,                      0,                      0,                      0,                      0,                 2.0098,                 5.4539,                 1.8128,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 1.1073,                 4.4351,                 1.4238,                      0,                      0,                      0,                      0,                 2.0204,                 5.4526,                 1.8195,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.90592,                 4.4459,                 1.2125,                      0,                      0,                      0,                      0,                 2.0204,                 5.4526,                 1.8195,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 0.9611,                 4.3434,                 1.2207,                      0,                      0,                      0,                      0,                 2.0204,                 5.4526,                 1.8195,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 1.2835,                 4.6223,                 1.4431,                      0,                      0,                      0,                      0,                 2.0204,                 5.4526,                 1.8195,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 1.0478,                 4.4319,                 1.4386,                      0,                      0,                      0,                      0,                 2.0622,                 5.4578,                  1.844,             2.3444e-06,             2.3444e-06,             2.3444e-06
